sepal_length,sepal_width,petal_length,petal_width,species,iris_id,event_timestamp
5.1,3.8,1.9,0.4,setosa,44,2026-07-05 07:18:21.148732
6.4,2.8,5.6,2.1,virginica,128,2026-07-05 07:18:21.148732
6.5,3.0,5.2,2.0,virginica,147,2026-07-05 07:18:21.148732
5.9,3.0,5.1,1.8,virginica,149,2026-07-05 07:18:21.148732
5.5,4.2,1.4,0.2,setosa,33,2026-07-05 07:18:21.148732
6.2,3.4,5.4,2.3,virginica,148,2026-07-05 07:18:21.148732
7.9,3.8,6.4,2.0,virginica,131,2026-07-05 07:18:21.148732
4.8,3.4,1.9,0.2,setosa,24,2026-07-05 07:18:21.148732
5.1,3.5,1.4,0.2,setosa,0,2026-07-05 07:18:21.148732
7.7,2.6,6.9,2.3,virginica,152,2026-07-05 07:18:21.148732
6.5,3.0,5.5,1.8,virginica,116,2026-07-05 07:18:21.148732
6.8,3.0,5.5,2.1,virginica,112,2026-07-05 07:18:21.148732
7.2,3.0,5.8,1.6,virginica,129,2026-07-05 07:18:21.148732
5.9,3.2,4.8,1.8,versicolor,70,2026-07-05 07:18:21.148732
5.3,3.7,1.5,0.2,setosa,48,2026-07-05 07:18:21.148732
6.7,3.3,5.7,2.1,virginica,124,2026-07-05 07:18:21.148732
6.9,3.1,4.9,1.5,versicolor,52,2026-07-05 07:18:21.148732
7.2,3.2,6.0,1.8,virginica,125,2026-07-05 07:18:21.148732
5.4,3.4,1.5,0.4,setosa,31,2026-07-05 07:18:21.148732
5.7,3.8,1.7,0.3,setosa,151,2026-07-05 07:18:21.148732
