sepal_length,sepal_width,petal_length,petal_width,species,iris_id,event_timestamp
6.3,2.5,4.9,1.5,versicolor,72,2026-07-05 05:36:59.960073
6.1,2.8,4.7,1.2,versicolor,73,2026-07-05 05:36:59.960073
6.4,2.9,4.3,1.3,versicolor,74,2026-07-05 05:36:59.960073
6.6,3.0,4.4,1.4,versicolor,75,2026-07-05 05:36:59.960073
6.8,2.8,4.8,1.4,versicolor,76,2026-07-05 05:36:59.960073
6.7,3.0,5.0,1.7,versicolor,77,2026-07-05 05:36:59.960073
6.0,2.9,4.5,1.5,versicolor,78,2026-07-05 05:36:59.960073
5.7,2.6,3.5,1.0,versicolor,79,2026-07-05 05:36:59.960073
5.5,2.4,3.8,1.1,versicolor,80,2026-07-05 05:36:59.960073
5.5,2.4,3.7,1.0,versicolor,81,2026-07-05 05:36:59.960073
5.8,2.7,3.9,1.2,versicolor,82,2026-07-05 05:36:59.960073
6.0,2.7,5.1,1.6,versicolor,83,2026-07-05 05:36:59.960073
5.4,3.0,4.5,1.5,versicolor,84,2026-07-05 05:36:59.960073
6.0,3.4,4.5,1.6,versicolor,85,2026-07-05 05:36:59.960073
6.7,3.1,4.7,1.5,versicolor,86,2026-07-05 05:36:59.960073
6.3,2.3,4.4,1.3,versicolor,87,2026-07-05 05:36:59.960073
5.6,3.0,4.1,1.3,versicolor,88,2026-07-05 05:36:59.960073
5.5,2.5,4.0,1.3,versicolor,89,2026-07-05 05:36:59.960073
5.5,2.6,4.4,1.2,versicolor,90,2026-07-05 05:36:59.960073
6.1,3.0,4.6,1.4,versicolor,91,2026-07-05 05:36:59.960073
5.8,2.6,4.0,1.2,versicolor,92,2026-07-05 05:36:59.960073
5.0,2.3,3.3,1.0,versicolor,93,2026-07-05 05:36:59.960073
5.6,2.7,4.2,1.3,versicolor,94,2026-07-05 05:36:59.960073
5.7,3.0,4.2,1.2,versicolor,95,2026-07-05 05:36:59.960073
5.7,2.9,4.2,1.3,versicolor,96,2026-07-05 05:36:59.960073
6.2,2.9,4.3,1.3,versicolor,97,2026-07-05 05:36:59.960073
5.1,2.5,3.0,1.1,versicolor,98,2026-07-05 05:36:59.960073
5.7,2.8,4.1,1.3,versicolor,99,2026-07-05 05:36:59.960073
6.3,3.3,6.0,2.5,virginica,100,2026-07-05 05:36:59.960073
5.8,2.7,5.1,1.9,virginica,101,2026-07-05 05:36:59.960073
7.1,3.0,5.9,2.1,virginica,102,2026-07-05 05:36:59.960073
6.3,2.9,5.6,1.8,virginica,103,2026-07-05 05:36:59.960073
6.5,3.0,5.8,2.2,virginica,104,2026-07-05 05:36:59.960073
7.6,3.0,6.6,2.1,virginica,105,2026-07-05 05:36:59.960073
4.9,2.5,4.5,1.7,virginica,106,2026-07-05 05:36:59.960073
7.3,2.9,6.3,1.8,virginica,107,2026-07-05 05:36:59.960073
6.7,2.5,5.8,1.8,virginica,108,2026-07-05 05:36:59.960073
7.2,3.6,6.1,2.5,virginica,109,2026-07-05 05:36:59.960073
6.5,3.2,5.1,2.0,virginica,110,2026-07-05 05:36:59.960073
6.4,2.7,5.3,1.9,virginica,111,2026-07-05 05:36:59.960073
6.8,3.0,5.5,2.1,virginica,112,2026-07-05 05:36:59.960073
5.7,2.5,5.0,2.0,virginica,113,2026-07-05 05:36:59.960073
5.8,2.8,5.1,2.4,virginica,114,2026-07-05 05:36:59.960073
6.4,3.2,5.3,2.3,virginica,115,2026-07-05 05:36:59.960073
6.5,3.0,5.5,1.8,virginica,116,2026-07-05 05:36:59.960073
7.7,3.8,6.7,2.2,virginica,117,2026-07-05 05:36:59.960073
7.7,2.6,6.9,2.3,virginica,118,2026-07-05 05:36:59.960073
6.0,2.2,5.0,1.5,virginica,119,2026-07-05 05:36:59.960073
6.9,3.2,5.7,2.3,virginica,120,2026-07-05 05:36:59.960073
5.6,2.8,4.9,2.0,virginica,121,2026-07-05 05:36:59.960073
7.7,2.8,6.7,2.0,virginica,122,2026-07-05 05:36:59.960073
6.3,2.7,4.9,1.8,virginica,123,2026-07-05 05:36:59.960073
6.7,3.3,5.7,2.1,virginica,124,2026-07-05 05:36:59.960073
7.2,3.2,6.0,1.8,virginica,125,2026-07-05 05:36:59.960073
6.2,2.8,4.8,1.8,virginica,126,2026-07-05 05:36:59.960073
6.1,3.0,4.9,1.8,virginica,127,2026-07-05 05:36:59.960073
6.4,2.8,5.6,2.1,virginica,128,2026-07-05 05:36:59.960073
7.2,3.0,5.8,1.6,virginica,129,2026-07-05 05:36:59.960073
7.4,2.8,6.1,1.9,virginica,130,2026-07-05 05:36:59.960073
7.9,3.8,6.4,2.0,virginica,131,2026-07-05 05:36:59.960073
6.4,2.8,5.6,2.2,virginica,132,2026-07-05 05:36:59.960073
6.3,2.8,5.1,1.5,virginica,133,2026-07-05 05:36:59.960073
6.1,2.6,5.6,1.4,virginica,134,2026-07-05 05:36:59.960073
7.7,3.0,6.1,2.3,virginica,135,2026-07-05 05:36:59.960073
6.3,3.4,5.6,2.4,virginica,136,2026-07-05 05:36:59.960073
6.4,3.1,5.5,1.8,virginica,137,2026-07-05 05:36:59.960073
6.0,3.0,4.8,1.8,virginica,138,2026-07-05 05:36:59.960073
6.9,3.1,5.4,2.1,virginica,139,2026-07-05 05:36:59.960073
6.7,3.1,5.6,2.4,virginica,140,2026-07-05 05:36:59.960073
6.9,3.1,5.1,2.3,virginica,141,2026-07-05 05:36:59.960073
5.8,2.7,5.1,1.9,virginica,142,2026-07-05 05:36:59.960073
6.8,3.2,5.9,2.3,virginica,143,2026-07-05 05:36:59.960073
6.7,3.3,5.7,2.5,virginica,144,2026-07-05 05:36:59.960073
6.7,3.0,5.2,2.3,virginica,145,2026-07-05 05:36:59.960073
6.3,2.5,5.0,1.9,virginica,146,2026-07-05 05:36:59.960073
6.5,3.0,5.2,2.0,virginica,147,2026-07-05 05:36:59.960073
6.2,3.4,5.4,2.3,virginica,148,2026-07-05 05:36:59.960073
5.9,3.0,5.1,1.8,virginica,149,2026-07-05 05:36:59.960073
6.1,2.8,4.7,1.2,versicolor,150,2026-07-05 05:36:59.960073
5.7,3.8,1.7,0.3,setosa,151,2026-07-05 05:36:59.960073
7.7,2.6,6.9,2.3,virginica,152,2026-07-05 05:36:59.960073
6.0,2.9,4.5,1.5,versicolor,153,2026-07-05 05:36:59.960073
6.8,2.8,4.8,1.4,versicolor,154,2026-07-05 05:36:59.960073
5.4,3.4,1.5,0.4,setosa,155,2026-07-05 05:36:59.960073
5.6,2.9,3.6,1.3,versicolor,156,2026-07-05 05:36:59.960073
6.9,3.1,5.1,2.3,virginica,157,2026-07-05 05:36:59.960073
6.2,2.2,4.5,1.5,versicolor,158,2026-07-05 05:36:59.960073
5.8,2.7,3.9,1.2,versicolor,159,2026-07-05 05:36:59.960073
6.5,3.2,5.1,2.0,virginica,160,2026-07-05 05:36:59.960073
4.8,3.0,1.4,0.1,setosa,161,2026-07-05 05:36:59.960073
5.5,3.5,1.3,0.2,setosa,162,2026-07-05 05:36:59.960073
4.9,3.1,1.5,0.1,setosa,163,2026-07-05 05:36:59.960073
5.1,3.8,1.5,0.3,setosa,164,2026-07-05 05:36:59.960073
6.3,3.3,4.7,1.6,versicolor,165,2026-07-05 05:36:59.960073
6.5,3.0,5.8,2.2,virginica,166,2026-07-05 05:36:59.960073
5.6,2.5,3.9,1.1,versicolor,167,2026-07-05 05:36:59.960073
5.7,2.8,4.5,1.3,versicolor,168,2026-07-05 05:36:59.960073
6.4,2.8,5.6,2.2,virginica,169,2026-07-05 05:36:59.960073
